cop	file	repository	revision	source_path	kind	selection
Layout/AccessModifierIndentation	pending/layout_accessmodifierindentation_rustocop_only.rb	chatwoot/chatwoot	8d93d69e8e356216e85c28de7c4240e66b8e83fa	app/models/message.rb	rustocop_only
Layout/AssignmentIndentation	pending/layout_assignmentindentation_rubocop_only.rb	rails/rails	ba4f7369aee71f9f38d67bdbf0e8571fb372b535	activerecord/lib/active_record/connection_adapters/abstract_adapter.rb	rubocop_only
Layout/AssignmentIndentation	pending/layout_assignmentindentation_rustocop_only.rb	rubygems/rubygems.org	3201f8831866f82eb9acd7f66287a978d0e59079	app/controllers/api/v1/github_secret_scanning_controller.rb	rustocop_only
Layout/BeginEndAlignment	pending/layout_beginendalignment_rubocop_only.rb	rails/rails	ba4f7369aee71f9f38d67bdbf0e8571fb372b535	actionpack/lib/action_dispatch/http/parameters.rb	rubocop_only
Layout/BeginEndAlignment	pending/layout_beginendalignment_rustocop_only.rb	chatwoot/chatwoot	8d93d69e8e356216e85c28de7c4240e66b8e83fa	app/builders/messages/facebook/message_builder.rb	rustocop_only
Layout/BlockAlignment	pending/layout_blockalignment_rubocop_only.rb	rails/rails	ba4f7369aee71f9f38d67bdbf0e8571fb372b535	activesupport/test/error_reporter_test.rb	rubocop_only
Layout/ClosingHeredocIndentation	pending/layout_closingheredocindentation_rubocop_only.rb	discourse/discourse	cec79c60b354e37e9a119544860123b122a995e0	app/jobs/scheduled/maintain_browser_pageview_rollups.rb	rubocop_only
Layout/ClosingHeredocIndentation	pending/layout_closingheredocindentation_rustocop_only.rb	gitlabhq/gitlabhq	67a526442c20d20b6e80ebf916bd766b54018c5e	spec/requests/api/graphql/mutations/ci/runner/bulk_pause_spec.rb	rustocop_only
Layout/CommentIndentation	pending/layout_commentindentation_rustocop_only.rb	chatwoot/chatwoot	8d93d69e8e356216e85c28de7c4240e66b8e83fa	app/mailers/conversation_reply_mailer.rb	rustocop_only
Layout/ElseAlignment	pending/layout_elsealignment_rustocop_only.rb	rails/rails	ba4f7369aee71f9f38d67bdbf0e8571fb372b535	activesupport/lib/active_support/core_ext/file/atomic.rb	rustocop_only
Layout/EmptyComment	pending/layout_emptycomment_rubocop_only.rb	discourse/discourse	cec79c60b354e37e9a119544860123b122a995e0	spec/requests/users_controller_spec.rb	rubocop_only
Layout/EmptyComment	pending/layout_emptycomment_rustocop_only.rb	chatwoot/chatwoot	8d93d69e8e356216e85c28de7c4240e66b8e83fa	lib/seeders/account_seeder.rb	rustocop_only
Layout/EmptyLineAfterGuardClause	pending/layout_emptylineafterguardclause_rubocop_only.rb	rubygems/rubygems.org	3201f8831866f82eb9acd7f66287a978d0e59079	app/controllers/api/v1/rubygems_controller.rb	rubocop_only
Layout/EmptyLineAfterGuardClause	pending/layout_emptylineafterguardclause_rustocop_only.rb	rubygems/rubygems.org	3201f8831866f82eb9acd7f66287a978d0e59079	test/test_helper.rb	rustocop_only
Layout/EmptyLineAfterMultilineCondition	pending/layout_emptylineaftermultilinecondition_rubocop_only.rb	chatwoot/chatwoot	8d93d69e8e356216e85c28de7c4240e66b8e83fa	app/jobs/inboxes/fetch_imap_emails_job.rb	rubocop_only
